lat_cell,lon_cell,biome_name,n_recordings,n_biomes_in_cell
-39.5,-71.8,Temperate Broadleaf & Mixed Forests,1,1
-39.5,-62.7,"Temperate Grasslands, Savannas & Shrublands",1,1
-39.5,174.4,Temperate Broadleaf & Mixed Forests,16,1
-39.5,175.5,Temperate Broadleaf & Mixed Forests,13,1
-39.5,176.8,Temperate Broadleaf & Mixed Forests,2,1
-39.4,-72.3,"Mediterranean Forests, Woodlands & Scrub",1,1
-39.4,175.4,Temperate Broadleaf & Mixed Forests,6,1
-39.3,-72.3,"Mediterranean Forests, Woodlands & Scrub",1,1
-39.3,-72.0,Temperate Broadleaf & Mixed Forests,2,1
-39.3,-71.0,Temperate Broadleaf & Mixed Forests,2,1
-39.3,175.5,Temperate Broadleaf & Mixed Forests,5,1
-39.2,-72.7,"Mediterranean Forests, Woodlands & Scrub",1,1
-39.2,-72.0,Temperate Broadleaf & Mixed Forests,3,1
-39.2,-71.8,Temperate Broadleaf & Mixed Forests,1,1
-39.2,-67.7,"Temperate Grasslands, Savannas & Shrublands",1,1
-39.2,-62.6,"Temperate Grasslands, Savannas & Shrublands",1,1
-39.2,175.4,Temperate Broadleaf & Mixed Forests,1,1
-39.2,175.5,Temperate Broadleaf & Mixed Forests,5,1
-39.2,176.8,Temperate Broadleaf & Mixed Forests,7,1
-39.1,-67.6,"Temperate Grasslands, Savannas & Shrublands",3,1
-39.1,146.3,Temperate Broadleaf & Mixed Forests,10,1
-39.1,175.7,Temperate Broadleaf & Mixed Forests,1,1
-39.0,-73.3,Temperate Broadleaf & Mixed Forests,3,1
-39.0,-68.1,"Temperate Grasslands, Savannas & Shrublands",4,1
-39.0,-61.3,"Temperate Grasslands, Savannas & Shrublands",1,1
-39.0,175.7,Temperate Broadleaf & Mixed Forests,2,1
-39.0,175.8,Temperate Broadleaf & Mixed Forests,1,1
-38.9,-73.4,Temperate Broadleaf & Mixed Forests,1,1
-38.9,-71.2,Temperate Broadleaf & Mixed Forests,4,1
-38.9,-60.0,"Temperate Grasslands, Savannas & Shrublands",1,1
-38.9,143.4,Temperate Broadleaf & Mixed Forests,10,1
-38.9,143.5,Temperate Broadleaf & Mixed Forests,63,1
-38.9,145.9,Temperate Broadleaf & Mixed Forests,9,1
-38.9,174.5,Temperate Broadleaf & Mixed Forests,3,1
-38.9,175.7,Temperate Broadleaf & Mixed Forests,2,1
