lat,lon,first_year,last_year,first_richness,last_richness,delta,direction
37.95,-4.95,2023,2025,15.46,6.17,-9.3,down
42.75,0.55,2024,2025,8.4,10.4,2.0,up
39.05,-7.85,2023,2025,8.7,8.6,-0.1,flat
37.85,-4.75,2023,2025,5.42,6.2,0.78,up
52.75,0.45,2023,2025,27.55,14.51,-13.05,down
54.95,47.95,2023,2024,11.45,9.09,-2.36,down
44.05,1.95,2023,2025,21.73,13.49,-8.24,down
56.05,47.35,2023,2025,10.46,10.85,0.39,flat
37.95,-5.05,2024,2025,16.6,5.94,-10.66,down
48.85,8.95,2023,2025,7.72,4.59,-3.13,down
59.45,17.35,2023,2025,18.57,12.0,-6.57,down
42.75,13.65,2023,2025,7.0,10.89,3.89,up
39.85,-6.05,2023,2025,5.18,12.06,6.88,up
37.15,-3.45,2024,2025,9.36,5.0,-4.36,down
42.85,13.55,2023,2024,7.15,7.55,0.39,flat
46.15,3.65,2023,2025,10.61,8.45,-2.15,down
55.95,47.35,2023,2025,6.42,2.0,-4.42,down
42.95,13.95,2023,2025,10.04,8.3,-1.74,down
45.05,-1.15,2023,2024,19.52,8.82,-10.7,down
37.05,-7.95,2024,2025,7.93,7.54,-0.39,flat
46.15,45.35,2023,2024,9.32,10.92,1.6,up
42.95,9.45,2023,2024,8.65,8.77,0.11,flat
42.75,13.55,2023,2025,8.52,9.14,0.63,up
46.75,5.45,2023,2025,11.0,18.84,7.84,up
43.55,4.85,2023,2025,7.92,9.5,1.58,up
51.05,3.75,2024,2025,9.04,9.47,0.43,flat
51.55,-3.05,2023,2025,16.01,16.45,0.44,flat
47.55,7.55,2023,2024,14.41,10.0,-4.41,down
42.55,-8.85,2023,2025,14.66,15.75,1.1,up
51.65,5.65,2023,2024,12.02,9.98,-2.04,down
42.75,11.85,2023,2025,18.41,11.72,-6.69,down
42.85,13.65,2023,2025,8.74,10.17,1.43,up
42.25,1.05,2024,2025,22.45,22.38,-0.06,flat
46.75,1.15,2023,2025,10.27,13.7,3.42,up
41.05,-5.65,2024,2025,10.41,15.48,5.07,up
41.25,1.75,2023,2025,9.29,9.36,0.06,flat
42.85,-8.65,2023,2025,15.31,17.8,2.49,up
44.05,1.85,2023,2024,18.0,3.67,-14.33,down
48.05,-4.75,2023,2025,8.88,8.97,0.1,flat
41.55,1.85,2023,2025,8.2,10.87,2.67,up
48.05,0.15,2023,2025,9.53,9.27,-0.25,flat
41.85,-8.55,2023,2024,13.79,9.5,-4.29,down
41.55,0.55,2023,2025,12.88,15.37,2.48,up
41.55,-8.45,2023,2025,14.02,17.28,3.27,up
50.05,8.65,2023,2024,9.38,8.14,-1.24,down
42.75,-5.75,2023,2025,13.74,10.0,-3.74,down
48.25,9.85,2023,2024,14.72,15.18,0.46,flat
39.85,-5.95,2023,2024,15.94,7.37,-8.56,down
43.25,0.15,2023,2024,12.8,21.88,9.08,up
59.35,18.05,2023,2025,15.63,9.17,-6.46,down
48.75,-1.55,2023,2025,9.46,9.41,-0.05,flat
41.55,1.95,2023,2025,12.47,11.5,-0.97,down
37.05,-7.75,2023,2025,10.25,9.4,-0.85,down
56.25,16.45,2023,2025,11.24,13.24,2.01,up
48.25,16.95,2023,2025,18.57,13.87,-4.7,down
49.05,5.85,2023,2024,11.86,5.0,-6.86,down
57.65,11.95,2023,2025,12.97,16.64,3.66,up
48.05,0.25,2023,2025,8.52,7.97,-0.55,down
43.65,3.85,2023,2025,10.16,10.82,0.65,up
53.65,0.15,2023,2025,9.73,9.1,-0.63,down
50.85,4.35,2023,2025,7.47,10.57,3.1,up
