lat,lon,continent,n_rec,richness,label,label_code
53.55,22.95,europe,16,11.677,moderate,1
50.75,4.85,europe,43,8.97,bad,0
49.25,1.15,europe,14,5.945,bad,0
44.65,-1.25,europe,337,9.218,moderate,1
43.15,2.55,europe,12,2.833,bad,0
57.05,-4.05,europe,16,13.08,good,2
41.05,0.85,europe,10,8.0,bad,0
62.35,25.95,europe,10,10.0,moderate,1
42.85,13.95,europe,18,8.167,bad,0
59.45,24.95,europe,22,9.766,moderate,1
47.75,17.05,europe,19,14.596,good,2
62.05,14.75,europe,19,10.263,moderate,1
52.25,5.85,europe,46,13.735,good,2
50.75,5.95,europe,1383,3.948,bad,0
56.15,-4.65,europe,13,13.804,good,2
40.55,-4.15,europe,86,7.351,bad,0
42.55,1.85,europe,53,11.865,moderate,1
41.65,-8.45,europe,28,17.235,good,2
43.75,3.45,europe,29,9.7,moderate,1
45.05,6.45,europe,20,10.495,moderate,1
43.25,3.35,europe,27,11.163,moderate,1
52.15,4.75,europe,12,6.455,bad,0
56.45,9.35,europe,17,16.423,good,2
40.35,-5.15,europe,110,7.992,bad,0
38.15,13.35,europe,14,9.077,moderate,1
49.55,0.15,europe,14,11.879,moderate,1
61.55,12.75,europe,16,3.125,bad,0
36.85,-6.25,europe,18,9.121,moderate,1
39.15,26.25,europe,31,10.642,moderate,1
43.05,9.45,europe,85,8.018,bad,0
56.05,14.05,europe,13,11.881,moderate,1
43.75,11.25,europe,15,8.952,moderate,1
40.25,20.75,europe,35,8.68,moderate,1
53.95,10.55,europe,14,8.966,bad,0
43.65,-7.85,europe,12,9.621,moderate,1
54.15,13.35,europe,164,20.65,good,2
59.25,17.65,europe,17,14.846,good,2
51.85,-8.95,europe,33,8.595,bad,0
48.05,-2.05,europe,48,14.903,good,2
45.15,18.25,europe,36,15.23,good,2
56.55,16.55,europe,11,9.545,moderate,1
41.25,2.05,europe,41,9.829,moderate,1
42.25,-8.65,europe,15,2.666,bad,0
38.05,30.85,europe,66,9.537,moderate,1
45.95,6.45,europe,84,9.682,moderate,1
37.05,-6.45,europe,133,12.533,good,2
58.35,14.65,europe,10,8.0,bad,0
38.75,48.45,europe,90,10.672,moderate,1
48.45,2.65,europe,19,15.11,good,2
45.75,10.75,europe,42,14.601,good,2
50.55,23.25,europe,10,9.0,bad,0
43.25,5.35,europe,85,13.08,good,2
60.05,-1.35,europe,19,8.669,moderate,1
43.05,-6.05,europe,28,11.026,moderate,1
41.25,0.95,europe,20,10.697,moderate,1
38.05,35.45,europe,10,10.0,moderate,1
44.45,10.05,europe,41,5.735,bad,0
41.35,2.05,europe,77,11.911,moderate,1
45.95,-0.65,europe,12,6.303,bad,0
43.45,3.65,europe,63,8.678,moderate,1
59.35,17.55,europe,21,18.502,good,2
44.85,-0.55,europe,11,15.0,good,2
43.05,0.15,europe,19,11.903,moderate,1
44.25,10.35,europe,25,6.865,bad,0
52.15,6.95,europe,15,16.07,good,2
52.15,6.85,europe,46,18.593,good,2
37.35,-7.85,europe,15,8.381,bad,0
51.15,-3.25,europe,15,12.714,moderate,1
44.45,1.55,europe,16,8.839,moderate,1
52.15,16.85,europe,17,16.639,good,2
51.55,4.25,europe,15,4.333,bad,0
55.75,13.15,europe,20,8.026,bad,0
50.55,-2.45,europe,45,8.41,bad,0
52.25,20.45,europe,73,13.238,good,2
51.95,-0.35,europe,17,7.728,bad,0
40.95,28.55,europe,11,8.545,bad,0
46.75,0.35,europe,21,11.519,moderate,1
53.35,20.65,europe,37,11.924,moderate,1
46.65,-0.15,europe,13,14.531,good,2
51.35,3.45,europe,257,9.975,moderate,1
59.85,10.85,europe,10,8.0,bad,0
43.55,1.35,europe,22,15.803,good,2
40.35,19.45,europe,20,3.263,bad,0
55.65,12.05,europe,19,8.947,bad,0
47.25,9.95,europe,15,16.549,good,2
46.95,7.25,europe,71,15.527,good,2
56.65,16.45,europe,12,11.288,moderate,1
53.25,20.65,europe,243,14.849,good,2
45.05,34.15,europe,100,9.909,moderate,1
41.65,-0.95,europe,12,15.909,good,2
53.95,20.35,europe,14,17.857,good,2
37.35,-2.85,europe,50,6.014,bad,0
51.45,16.55,europe,12,8.121,bad,0
49.95,-6.35,europe,56,13.71,good,2
44.15,4.75,europe,17,10.059,moderate,1
62.45,17.45,europe,17,9.265,moderate,1
64.75,17.95,europe,21,3.159,bad,0
41.55,-8.75,europe,11,13.182,good,2
52.05,1.45,europe,14,8.736,bad,0
53.15,22.95,europe,14,14.867,good,2
46.45,0.25,europe,19,9.339,moderate,1
42.15,0.05,europe,12,5.621,bad,0
44.65,24.25,europe,16,10.5,moderate,1
43.55,11.85,europe,14,9.011,moderate,1
51.05,1.15,europe,12,15.121,good,2
50.95,4.75,europe,21,9.829,moderate,1
37.35,-6.05,europe,106,7.674,bad,0
51.05,3.65,europe,14,12.692,moderate,1
51.25,4.05,europe,25,11.77,moderate,1
51.35,23.05,europe,17,10.287,moderate,1
52.25,5.05,europe,15,9.469,moderate,1
51.05,4.35,europe,49,8.593,bad,0
59.55,18.05,europe,14,17.164,good,2
42.15,9.45,europe,31,4.833,bad,0
48.25,4.35,europe,12,11.818,moderate,1
56.25,47.25,europe,17,6.423,bad,0
40.45,-4.55,europe,24,8.429,bad,0
41.85,1.85,europe,15,10.67,moderate,1
52.15,-2.25,europe,14,8.143,bad,0
50.55,3.35,europe,100,12.503,moderate,1
60.45,4.95,europe,11,12.091,moderate,1
51.25,4.55,europe,20,17.45,good,2
42.85,1.05,europe,22,11.701,moderate,1
59.45,18.45,europe,11,13.909,good,2
43.65,3.35,europe,43,9.601,moderate,1
51.15,4.25,europe,28,9.926,moderate,1
41.85,-7.45,europe,36,15.868,good,2
39.95,8.55,europe,17,10.364,moderate,1
58.95,17.55,europe,17,11.36,moderate,1
44.15,10.15,europe,30,7.154,bad,0
47.75,-1.95,europe,12,15.485,good,2
50.85,16.65,europe,18,9.556,moderate,1
52.25,-7.15,europe,40,8.925,bad,0
47.25,0.35,europe,23,12.6,good,2
52.05,-0.25,europe,21,8.376,bad,0
45.35,0.35,europe,10,7.0,bad,0
39.95,3.05,europe,29,7.652,bad,0
43.85,4.75,europe,10,4.0,bad,0
63.75,20.15,europe,61,15.395,good,2
60.55,15.55,europe,14,10.724,moderate,1
41.65,1.85,europe,13,9.073,moderate,1
42.25,1.25,europe,15,14.769,good,2
41.55,0.95,europe,10,9.0,moderate,1
41.85,43.35,europe,19,10.077,moderate,1
47.75,19.15,europe,15,11.19,moderate,1
47.85,11.15,europe,12,13.303,good,2
