lat_cell,lon_cell,continent,n_rec,S_obs,S_rare10,Acoustic_Complexity_Index__mean,Acoustic_Diversity_Index__main_value,Acoustic_Evenness_Index__main_value,Bio_acoustic_Index__main_value,Normalized_Difference_Sound_Index__main_value,Spectral_Entropy__main_value,Temporal_Entropy__main_value,NB_peaks__main_value,Acoustic_Diversity_Index_NR__main_value,Bio_acoustic_Index_NR__main_value,Spectral_Entropy_NR__main_value
12.6,17.5,africa,4,3,,160.7455465066105,2.0311502002507313,0.15462387851659393,10.172729682800735,0.8414500402725208,0.8769452571688069,0.9661628816348076,4.5,2.029499926456462,11.807126293985137,0.8289049509707443
-0.4,34.6,africa,6,4,,159.17468391815393,1.9432414605567658,0.2485912970345374,6.883507612830555,0.24766559676914082,0.8295725515041484,0.9774189687844989,3.8333333333333335,1.8751637518886344,8.743703403739252,0.8084900646889431
5.8,-7.4,africa,36,30,10.19,159.15221563320864,1.9514563911644731,0.21612376898315208,11.483513371345222,0.7042884493108803,0.794575983513829,0.9751143969089419,5.222222222222222,1.9516123826359733,11.347501622761458,0.7771294198651704
-18.8,48.4,africa,16,21,15.732,164.418738821962,1.978850968815606,0.18644898423217665,33.58322292556503,0.6232748652060263,0.8533680031239058,0.9623887133419696,4.5,1.966162364379897,37.572947284287366,0.8191949093222879
-28.4,32.4,africa,33,26,11.389,163.53258623236368,1.9676048973748097,0.18347951366110796,7.353797411400219,0.639224818958747,0.8710397813658979,0.9603302045573305,5.333333333333333,1.9431881524239498,8.467947898866262,0.8477782151079107
11.7,13.3,africa,7,6,,161.50810693637382,1.9591126095845188,0.24926154740330264,7.569893159064636,0.620431465457077,0.8625729462559022,0.9445495195634879,4.571428571428571,1.9204233546453453,9.016958617985685,0.819762089345673
-25.6,31.9,africa,1,3,,159.87919968656163,2.075928674543552,0.035931405862191124,6.719503171960261,0.5914175644681874,0.9146832589119951,0.9868828691350574,20.0,2.0453109000641794,9.00008791402315,0.918094896078184
-3.2,40.1,africa,34,15,6.971,168.33467623168016,1.9426573880536164,0.20224216913097307,8.533628569046833,0.7285684066215296,0.80920840000204,0.9493463135185647,4.0588235294117645,1.8633986868483465,9.114279721742406,0.7975466886684556
12.8,17.5,africa,9,9,,161.7380339867224,1.9327789903385617,0.2548229446748165,10.649765049967275,0.7279467955121297,0.8609673495635274,0.9561394390579535,3.4444444444444446,1.9377736489357043,13.012798789362792,0.7918517388666242
12.6,-1.3,africa,5,10,,163.8996216440392,1.8270641537899532,0.33772116621289644,13.34478439343668,0.9235010507722009,0.8290786763179472,0.9298915021074448,4.6,1.882640470262095,14.157982258909986,0.792068105465627
12.2,18.8,africa,2,3,,167.0877912657185,2.0600765270179764,0.10365833143667091,6.40403247022866,0.9484070727083491,0.9480007184698096,0.9545461855287125,9.0,2.0372057112685864,7.473078563839966,0.904766617873972
-4.5,35.4,africa,22,14,8.061,167.57562094391164,1.7544140419079002,0.37730392451079914,13.258793193728964,0.7416063449162738,0.7386394456491145,0.9385000663669608,4.590909090909091,1.7698710701316387,13.356764871139466,0.7177677404961899
0.1,37.4,africa,4,3,,184.302137518644,1.8306529573681363,0.3356565439552758,14.273428634167939,0.9943322912709079,0.7551958090746915,0.9176093195616204,2.75,1.8614963486955507,14.742414600771031,0.740708451690718
